07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:16:47 - iter: 33/70 time: 0.557s fit: 0.024311
07-Sep-2023 21:16:47 - iter: 34/70 time: 0.564s fit: 0.025714
07-Sep-2023 21:16:48 - iter: 35/70 time: 0.563s fit: 0.023435
07-Sep-2023 21:16:48 - iter: 36/70 time: 0.567s fit: 0.024274
07-Sep-2023 21:16:49 - iter: 37/70 time: 0.566s fit: 0.025179
07-Sep-2023 21:16:50 - iter: 38/70 time: 0.559s fit: 0.024509
07-Sep-2023 21:16:50 - iter: 39/70 time: 0.569s fit: 0.023388
07-Sep-2023 21:16:51 - iter: 40/70 time: 0.556s fit: 0.02435
07-Sep-2023 21:16:51 - iter: 41/70 time: 0.563s fit: 0.025825
07-Sep-2023 21:16:52 - iter: 42/70 time: 0.565s fit: 0.022672
07-Sep-2023 21:16:52 - iter: 43/70 time: 0.559s fit: 0.023778
07-Sep-2023 21:16:53 - iter: 44/70 time: 0.563s fit: 0.023414
07-Sep-2023 21:16:54 - iter: 45/70 time: 0.574s fit: 0.022889
07-Sep-2023 21:16:54 - iter: 46/70 time: 0.569s fit: 0.022775
07-Sep-2023 21:16:55 - iter: 47/70 time: 0.558s fit: 0.02481
07-Sep-2023 21:16:55 - iter: 48/70 time: 0.557s fit: 0.020683
07-Sep-2023 21:16:56 - iter: 49/70 time: 0.557s fit: 0.022993
07-Sep-2023 21:16:56 - iter: 50/70 time: 0.562s fit: 0.025129
07-Sep-2023 21:16:57 - iter: 51/70 time: 0.555s fit: 0.025922
07-Sep-2023 21:16:57 - iter: 52/70 time: 0.559s fit: 0.024259
07-Sep-2023 21:16:58 - iter: 53/70 time: 0.557s fit: 0.019693
07-Sep-2023 21:16:59 - iter: 54/70 time: 0.564s fit: 0.021877
07-Sep-2023 21:16:59 - iter: 55/70 time: 0.573s fit: 0.023722
07-Sep-2023 21:17:00 - iter: 56/70 time: 0.571s fit: 0.023341
07-Sep-2023 21:17:00 - iter: 57/70 time: 0.561s fit: 0.020718
07-Sep-2023 21:17:01 - iter: 58/70 time: 0.559s fit: 0.020291
07-Sep-2023 21:17:01 - iter: 59/70 time: 0.553s fit: 0.022637
07-Sep-2023 21:17:02 - iter: 60/70 time: 0.559s fit: 0.022749
07-Sep-2023 21:17:03 - iter: 61/70 time: 0.547s fit: 0.021386
07-Sep-2023 21:17:03 - iter: 62/70 time: 0.553s fit: 0.0218
07-Sep-2023 21:17:04 - iter: 63/70 time: 0.57s fit: 0.020287
07-Sep-2023 21:17:04 - iter: 64/70 time: 0.555s fit: 0.021276
07-Sep-2023 21:17:05 - iter: 65/70 time: 0.558s fit: 0.024016
07-Sep-2023 21:17:05 - iter: 66/70 time: 0.56s fit: 0.021059
07-Sep-2023 21:17:06 - iter: 67/70 time: 0.562s fit: 0.022341
07-Sep-2023 21:17:06 - iter: 68/70 time: 0.559s fit: 0.021822
07-Sep-2023 21:17:07 - iter: 69/70 time: 0.557s fit: 0.024071
07-Sep-2023 21:17:08 - iter: 70/70 time: 0.559s fit: 0.023014
07-Sep-2023 21:17:09 - round1/1 fold3/10 - time:41.736s train_acc:1 test_acc:0.79167 size:62
